responder_id,effectiveness,feasibility,envtal_conservation,socioeconomic,scalability,sustainability,com_engpa,policy_alignment
er1,3,4,3,4,4,5,5,4
er2,5,5,1,1,4,3,5,5
er3,3,2,1,2,2,2,2,1
er4,4,4,5,4,5,5,5,5
er5,4,4,3,4,4,3,3,4
er6,1,1,2,1,1,1,2,1
er7,3,3,5,5,5,4,5,5
er8,2,2,2,2,2,2,2,2
er9,3,4,5,5,5,5,4,5
er10,5,4,3,4,5,4,3,2
er11,3,4,4,5,4,5,4,4
er12,4,3,4,4,3,4,5,4
er13,5,5,2,5,5,5,5,5
er14,5,4,5,5,4,5,4,4
er15,3,3,2,2,2,3,3,2
er16,4,4,3,5,4,3,3,3
er17,4,5,4,4,4,3,4,4
er18,4,4,5,4,4,5,4,5
er19,5,4,5,5,5,4,4,5
er20,4,5,4,4,4,5,4,4
er21,4,5,4,4,5,4,4,5
er22,5,4,4,5,4,4,5,4
er23,4,5,4,4,5,5,4,3
er24,5,5,4,4,5,4,5,4
er25,5,5,4,4,5,5,4,5
er26,5,5,4,5,4,3,5,3
er27,4,5,4,5,4,5,5,4